isClosed,active_days,first_funding_days,founded_year,first_milestone_at,milestones,funding_total_usd,category_web,lng,relationships,lat,funding_rounds,country_USA,category_network_hosting,country_code_generalized,category_other,category_public_relations,country_other,category_games_video,category_analytics,category_education,category_travel,category_semiconductor,country_FRA,country_ESP,category_social,category_biotech,category_finance,category_health,category_music,target
1,5475.0,5892.0,2006,2010,3.0,2920000.0,0,8.541694,4.0,47.3768866,1.0,0,0,0.08798596901490792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5475.0,5655.0,2006,2012,2.0,1500000.0,0,-122.3255254,5.0,37.5629917,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2009,2.0,3400000.0,1,-122.1430195,7.0,37.4418834,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6253.0,2011,2013,1.0,2500000.0,1,-122.4194155,3.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2006,2008,3.0,1000000.0,1,-122.1141298,4.0,37.3852183,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4015.0,5655.0,2007,2008,3.0,712000.0,1,-71.0952891,2.0,42.5256563,1.0,0,0,0.06883952060800935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4015.0,6291.0,2010,2012,2.0,2502039.0,0,-0.1277583,5.0,51.5073509,1.0,0,0,0.06883952060800935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2012,1.0,1400000.0,0,-122.4194155,2.0,37.7749295,3.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,3650.0,6051.0,2011,2012,2.0,267835.75,0,11.5819805,2.0,48.1351253,2.0,0,0,0.01900029231218942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6232.0,2010,2012,1.0,1170000.0,0,13.404954,3.0,52.5200066,2.0,0,0,0.01900029231218942,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,5475.0,5655.0,2006,2008,1.0,1000000.0,0,-122.4194155,4.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5867.0,2010,2010,1.0,267835.75,0,13.404954,1.0,52.5200066,2.0,0,0,0.01900029231218942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4015.0,5655.0,2007,2008,2.0,1204795.0,0,6.9602786,1.0,50.937531,3.0,0,0,0.01900029231218942,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5475.0,5655.0,2006,2010,1.0,267835.75,0,30.5234,2.0,50.4501,1.0,0,0,0.08798596901490792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,6337.0,2009,2011,2.0,3400000.0,0,-121.9552356,4.0,37.3541079,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6045.504393673111,2007,2012,1.0,1300000.0,0,-74.0059728,7.0,40.7127753,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6051.0,2011,2011,2.0,267835.75,1,-89.2176187,2.0,43.9658121,3.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2006,2007,3.0,3400000.0,1,13.404954,6.0,52.5200066,2.0,0,0,0.01900029231218942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4015.0,5655.0,2006,2011,2.0,3400000.0,0,-71.0588801,6.0,42.3600825,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6521.0,2011,2012,1.0,3400000.0,0,-71.3489484,4.0,42.4603719,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,5807.0,2007,2007,2.0,267835.75,0,-118.2436849,4.0,34.0522342,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6121.0,2010,2011,1.0,267835.75,0,-91.4984941,3.0,44.811349,3.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2008,2009,2.0,267835.75,1,-122.0838511,3.0,37.3860517,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,5668.0,2007,2008,1.0,3000000.0,0,-0.1277583,3.0,51.5073509,2.0,0,0,0.06883952060800935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,4380.0,6538.0,2009,2009,1.0,267835.75,0,-6.2603097,2.0,53.3498053,1.0,0,0,0.00950014615609471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3650.0,6428.0,2011,2011,2.0,1500000.0,0,34.7817676,4.0,32.0852999,1.0,0,0,0.019877228880444315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
